problem,method,converged,f_best,quality_success,iterations,time_sec,func_calls,peak_memory_kib,run
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0021489999489858747,372,1.3369140625,0
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.001491699949838221,372,1.4541015625,1
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0013608000008389354,372,1.4306640625,2
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0016738999402150512,372,1.4306640625,3
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.001859599957242608,372,1.4306640625,4
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0015928000211715698,372,1.4306640625,5
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.001985899987630546,372,1.4306640625,6
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0020425000693649054,372,1.4306640625,7
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.002050599898211658,372,1.4306640625,8
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0025189999723806977,372,1.4306640625,9
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0023154999362304807,372,1.4306640625,10
himmelblau,gradient_descent,True,3.054464555314281e-19,1.0,44,0.0017969999462366104,372,1.4306640625,11
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.002597499988041818,340,1.83984375,0
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.002861600019969046,340,1.65234375,1
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.002171600004658103,340,1.67578125,2
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.002178400056436658,340,1.67578125,3
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.001805200008675456,340,1.67578125,4
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.0024584000930190086,340,1.67578125,5
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.0020340000046417117,340,1.67578125,6
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.0020568999461829662,340,1.67578125,7
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.0021030999487265944,340,1.67578125,8
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.001470400020480156,340,1.67578125,9
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.0013415999710559845,340,1.67578125,10
himmelblau,nelder_mead,True,1.7822972708188259e-09,1.0,43,0.0012565000215545297,340,1.67578125,11
himmelblau,simulated_annealing,False,0.03311102921822287,0.0,2471,0.7983643000479788,2472,27.59375,0
himmelblau,simulated_annealing,False,0.00999453761587472,0.0,2471,0.7833463000133634,2472,27.15625,1
himmelblau,simulated_annealing,False,0.20030047448495897,0.0,2471,0.7668254000600427,2472,27.171875,2
himmelblau,simulated_annealing,True,0.00022833077205629417,1.0,2002,0.6304604000179097,2003,22.88671875,3
himmelblau,simulated_annealing,False,0.023651101227751097,0.0,2471,0.7413638998987153,2472,27.171875,4
himmelblau,simulated_annealing,False,0.05689078644476978,0.0,2471,0.7917936999583617,2472,27.1015625,5
himmelblau,simulated_annealing,False,0.035939471989939235,0.0,2471,0.7900973999639973,2472,27.171875,6
himmelblau,simulated_annealing,False,0.07213659559037255,0.0,2471,0.8400552000384778,2472,27.2265625,7
himmelblau,simulated_annealing,False,0.1894049763933426,0.0,2471,0.8134862000588328,2472,27.171875,8
himmelblau,simulated_annealing,False,0.12003224814646443,0.0,2471,0.7914152999874204,2472,27.10546875,9
himmelblau,simulated_annealing,False,0.14832124474137567,0.0,2471,0.848621999961324,2472,27.109375,10
himmelblau,simulated_annealing,False,0.14515793824031775,0.0,2471,0.822838700027205,2472,27.13671875,11
himmelblau,differential_evolution,True,0.00035702112465297946,1.0,41,0.5113751000026241,1470,11.8388671875,0
himmelblau,differential_evolution,True,0.0009068640903599214,1.0,36,0.46688889991492033,1295,10.4873046875,1
himmelblau,differential_evolution,True,2.27386625473113e-05,1.0,53,0.6621793999802321,1890,10.7216796875,2
himmelblau,differential_evolution,True,0.0007004682903620453,1.0,41,0.4986498000798747,1470,10.6279296875,3
himmelblau,differential_evolution,True,3.7015835450432065e-05,1.0,48,0.5601884999778122,1715,10.5810546875,4
himmelblau,differential_evolution,True,0.0006294208666364364,1.0,40,0.4760061000706628,1435,10.4638671875,5
himmelblau,differential_evolution,True,0.0008716326380358234,1.0,40,0.463739600032568,1435,10.5107421875,6
himmelblau,differential_evolution,True,0.0006931934461024837,1.0,32,0.38059790001716465,1155,10.4482421875,7
himmelblau,differential_evolution,True,0.000564656072425777,1.0,52,0.6131460000760853,1855,10.5341796875,8
himmelblau,differential_evolution,True,0.0002545781358311802,1.0,55,0.6485699999611825,1960,10.6513671875,9
himmelblau,differential_evolution,True,0.00025452371887486376,1.0,50,0.579061699914746,1785,10.6044921875,10
himmelblau,differential_evolution,True,0.0004747702057682056,1.0,41,0.4966684998944402,1470,10.5341796875,11
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.7054121000692248,67224,61.6103515625,0
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.7447088999906555,67224,63.4619140625,1
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.7638352001085877,67224,61.6103515625,2
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.7083206000970677,67224,61.6103515625,3
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.649039400042966,67224,61.6103515625,4
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.8433795999735594,67224,61.6103515625,5
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.8787933000130579,67224,61.6103515625,6
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.7597936000674963,67224,61.6103515625,7
